utterance,intent
Update the listing for the Chelsea flat: the building is managed by 'Kinleigh Folkard & Hayward'.,update_listing
Search for properties with direct access to a park or common.,search_properties
Display the full EPC report for the flat in Brighton.,get_property_details
I'm looking for a top-floor flat in a Victorian conversion in Bristol.,search_properties
"Give me a draft for a 1-bed ex-local authority flat in Bethnal Green, London. Focus on the value.",generate_property_description
Are there any thatched cottages for sale in Dorset?,search_properties
Update the tenure information: 'Share of Freehold with an underlying lease of 987 years'.,update_listing
Get me the dimensions of the garage for the house in Milton Keynes.,get_property_details
Change the letting type to 'Student Let' for the property near the University of Nottingham.,update_listing
Find me a detached home with five bedrooms in the Richmond area.,search_properties
I'm looking for a property with a westerly-facing garden for evening sun.,search_properties
Display all viewing requests that are currently awaiting confirmation.,get_property_details
"I'm looking for a studio flat near a tube station in Zone 2, London.",search_properties
Generate a romantic and evocative description for a thatched cottage in a Dorset village.,generate_property_description
Describe a 4-bedroom house in Solihull. Make it sound perfect for a growing family.,generate_property_description
Find me a house that has a stream or river at the bottom of the garden.,search_properties
Write a post on the emotional and psychological aspects of selling a family home.,generate_blog_post
Are there any subletting restrictions on the apartment in Canary Wharf?,get_property_details
Update the status of the bungalow in Cornwall to Sold STC.,update_listing
Tell me the size of the garden for the cottage in Devon.,get_property_details
Show me the condition report from the survey on the house in Exeter.,get_property_details
What's a good way to describe a modern apartment near Temple Meads station in Bristol?,generate_property_description
Create a blog post discussing the pros and cons of buying off-plan properties.,generate_blog_post
I need a description that highlights the low service charge for a purpose-built flat in Coventry.,generate_property_description
"Draft a description for a large, open-plan office floor in a building in Leeds city centre.",generate_property_description
Has an environmental search been completed for the home in Manchester?,get_property_details
"Show me properties under £500,000 in Brighton and Hove.",search_properties
What is the walking distance to the nearest train station from the house in Guildford?,get_property_details
I need your help writing a description. It's for a one-bed flat in Hackney that needs a quick sale.,generate_property_description
"A virtual tour is now available for the City Centre apartment, please link it to the listing.",update_listing
What have you got in the £400k-£450k price bracket in York?,search_properties
Write an article on 'How to Price Your Home Realistically in a Slow Market'.,generate_blog_post
Can you reorder the photos for the Sheffield listing? I want the kitchen to be picture number two.,update_listing
Pull up the service charge breakdown for the penthouse in Liverpool.,get_property_details
Show me homes with a 'smart home' system already installed.,search_properties
Show me the status of the property chain above our buyer.,get_property_details
Find a property within the M25 with at least 4 bedrooms and a garden for under £1m.,search_properties
Draft a blog post on 'Selling Inherited Property: A Step-by-Step Guide'.,generate_blog_post
Is there a utility room in the property with reference #P8876?,get_property_details
Draft a description for a large agricultural barn with potential for Class Q permitted development.,generate_property_description
I need to block out viewing times for this Friday morning for a deep clean.,get_property_details
"The seller wants to knock £5,000 off the asking price for the house in Leicester.",update_listing
"Can you change the status for the flat on Deansgate, Manchester to 'Exchanged'?",update_listing
"Create a short description for a 2-bed terraced house in Cardiff, perfect for first-time buyers.",generate_property_description
Generate a blog post on 'Shared Ownership: Is it the Right Choice for You?',generate_blog_post
Write a description for a waterfront apartment in Ipswich with potential mooring rights.,generate_property_description
"Generate a description for a new build home in a development outside Cambridge, highlighting the commuter links to London.",generate_property_description
"Generate a listing for a terraced house with views of the castle in Conwy, Wales.",generate_property_description
"Create a detailed description for a flat within a prestigious mansion block in Maida Vale, London.",generate_property_description
Are there any apartments with access to a residents' lounge in Birmingham?,search_properties
Show me homes with a 'walk-in wardrobe' in the master bedroom.,search_properties
Generate an analysis on the impact of Build-to-Rent schemes on the private rental market.,generate_blog_post
Make a description for a flat that's small but in a prime location in central London.,generate_property_description
Is the property eligible for any first-time buyer schemes?,get_property_details
"Draft a description for a pet-friendly apartment building in Leeds, mentioning the nearby parks.",generate_property_description
Are there any riverside properties available in Richmond upon Thames?,search_properties
Find a property that's close to a good primary school in North London.,search_properties
"The vendors sent over some better pictures for the Sheffield house, can you update them?",update_listing
Draft a post on the best commuter villages with direct trains to Manchester Piccadilly.,generate_blog_post
Add the new lifestyle photos to the end of the gallery for the farmhouse in Devon.,update_listing
Create a market update for Q3 2025 for the Home Counties.,generate_blog_post
"Create a description for a top-floor apartment in a new development in Finnieston, Glasgow.",generate_property_description
What cottages are for sale in the Lake District?,search_properties
Write a premium listing for a country estate in the Surrey Hills with a swimming pool and tennis court.,generate_property_description
"Please reflect a price change on the Brighton maisonette, the new asking price is £550,000.",update_listing
What's the highest offer received to date for the house on Elm Street?,get_property_details
Display all feedback received for the cottage in the Lake District.,get_property_details
"Draft an analysis of the property market in Northern Ireland, highlighting key growth areas.",generate_blog_post
"Compose a luxury property description for a mansion in St George's Hill, Weybridge.",generate_property_description
What's the asking price per square foot for the loft in Manchester?,get_property_details
Has the price changed for the property on Baker Street?,get_property_details
Compose a guide to selling a home with unconventional features or a unique history.,generate_blog_post
"Is the property currently tenanted, and if so, what are the tenancy details?",get_property_details
Create a post exploring the market for retirement properties in the UK.,generate_blog_post
Search for properties that are 'back on the market' in the Bath area.,search_properties
Are there any semi-detached houses with at least 3 bedrooms in Southampton?,search_properties
Update the main image for the listing on Ocean Drive to the one with the sea view.,update_listing
The seller wants to specify 'No smokers' on the listing for the Bristol flat.,update_listing
I'm looking for a ground floor maisonette in Brighton with a private garden.,search_properties
Show me farmhouses with land in the Peak District.,search_properties
Draft a post explaining the 'sealed bids' process and how to create a winning bid.,generate_blog_post
"Find a house in a village near Oxford, budget is around £800k.",search_properties
"The landlord has now agreed to pets, so please remove the 'No Pets' clause from the listing.",update_listing
"Draft an ad for a 5-bedroom townhouse in Edinburgh's New Town, focusing on its Georgian architecture.",generate_property_description
"Adjust the price of the flat in Leicester to £175,000. The seller is motivated.",update_listing
Find all properties for sale on the banks of the River Thames in Berkshire.,search_properties
"Draft the marketing text for a newly designed smart home in Sandbanks, Poole.",generate_property_description
Change the property type to 'Maisonette' as it has its own private entrance.,update_listing
Struggling with the words for a remote cottage in Snowdonia. Can you help?,generate_property_description
Show me the fixtures and fittings list (TA10) for the house in Exeter.,get_property_details
Show me all properties within a 20-minute walk of the city centre in York.,search_properties
Pull up a list of everyone who has viewed the property in SoHo.,get_property_details
"Create the text for a studio apartment in Brighton, noting its close proximity to The Lanes and the seafront.",generate_property_description
Draft a description that highlights the peace and quiet of a rural property in the Peak District.,generate_property_description
I need a brochure description for a historic manor house for sale in Oxfordshire with extensive grounds.,generate_property_description
Find me a one-bedroom flat with a balcony in Liverpool's Baltic Triangle.,search_properties
Change the pricing strategy for the land in Kent to 'Price on Application'.,update_listing
Generate a post on 'Budgeting for the Hidden Costs of Buying a Home'.,generate_blog_post
Write about how to check for common problems like damp and subsidence during a viewing.,generate_blog_post
How many years are left on the lease for the apartment in Mayfair?,get_property_details
"Draft the copy for a house needing modernisation in Bearwood, Birmingham.",generate_property_description
Create a guide on how to choose the right estate agent to sell your home.,generate_blog_post
"The vendors for the Manchester property have accepted an offer, can you update the listing?",update_listing
Write me a description for a modern family home on the outskirts of Belfast.,generate_property_description
Show me the viewing schedule for the house on Holly Lane this week.,get_property_details
"I'm looking for something quirky, like a windmill or a water tower conversion.",search_properties
Show me the interactive site map for the new development in Cambridge.,get_property_details
Write a blog post on planning permission: When do you need it?,generate_blog_post
What is the total square footage of the flat in Salford Quays?,get_property_details
Draft a description for a property that is being sold with no onward chain.,generate_property_description
Search for properties that accept offers in the region of £300k in Leeds.,search_properties
Update the bullet points for the Canary Wharf apartment to include '24-hour concierge'.,update_listing
Show me properties with an en-suite bathroom for every bedroom in Northwood.,search_properties
Create a description for a single garage for sale in a residential area of Hove.,generate_property_description
Draft an article explaining the 'Right to Rent' checks for landlords.,generate_blog_post
"The floor plan for the Manchester apartment is wrong, please delete it and I'll upload a corrected version tomorrow.",update_listing
Get me the details of the nearest NHS doctor's surgery and if they are accepting patients.,get_property_details
Draft me something for a period conversion flat in Tunbridge Wells.,generate_property_description
Write a description for a large apartment in a beautiful crescent in Bath.,generate_property_description
"I need a house that isn't overlooked from the back, in a quiet part of Reading.",search_properties
Show me the viewing calendar for the property on Victoria Street.,get_property_details
Update the tenure to 'Leasehold' and add the remaining lease years: '95 years remaining'.,update_listing
Compose an article on the growing trend of multi-generational living and its effect on the housing market.,generate_blog_post
"Find all homes for sale in Clifton Village, Bristol.",search_properties
Write a blog post titled: 'A Mid-Year Review: The UK Property Market in July 2025'.,generate_blog_post
Write an article on the perks of riverside living along the Thames.,generate_blog_post
"The seller has provided the utility costs, please add a note in the agent section: 'Average gas & electric £150pcm'.",update_listing
Is the loft boarded for storage?,get_property_details
Compose a piece on how to market a unique or unusual property effectively.,generate_blog_post
Are there any homes available with a wine cellar?,search_properties
"Write a listing for a small, lock-up shop unit in a busy suburban parade.",generate_property_description
Generate a description for a three-storey Victorian townhouse in the golden triangle of Norwich.,generate_property_description
"Generate an article on marketing your home in the digital age, beyond the main property portals.",generate_blog_post
Generate a description that makes a studio apartment sound spacious and cleverly designed.,generate_property_description
I'm looking for a barn conversion in the Cotswolds.,search_properties
What kind of bungalows are for sale in Suffolk?,search_properties
Draft a description for a large family home in a sought-after part of Solihull.,generate_property_description
"The tenant at the rental property has requested no more viewings this week, please block out the calendar.",update_listing
Create an Instagram caption for a new luxury listing we have in Belgravia.,generate_property_description
Get me information on local council planning applications near the house in Esher.,get_property_details
What are the vendor's preferred viewing times for the property in St Albans?,get_property_details
The sellers have confirmed the tenure is Freehold for the house in Solihull.,update_listing
I'm looking for a family home in the catchment for Altrincham Grammar School.,search_properties
Generate an article that demystifies Japanese Knotweed and its impact on getting a mortgage.,generate_blog_post
Compose an article on the pros and cons of offering a 'pet-friendly' rental property.,generate_blog_post
"The tenants at the Manchester property require 48 hours' notice, please add this to the notes.",update_listing
"Find me a detached bungalow in Norfolk, it must be chain-free.",search_properties
Pull up the offer that was accepted for the house in Surrey.,get_property_details
I need the estimated monthly utility costs for the terraced house in Bristol.,get_property_details
"Text for Zoopla listing: 4 bed townhouse, Greenwich, London, in a secure gated development.",generate_property_description
Write a blog post titled: '10 Cost-Effective Ways to Add Value to Your Home Before Selling'.,generate_blog_post
Generate a listing for a retail unit with a prime high street location in Chester.,generate_property_description
Analyse the impact of new build developments on property prices in suburban areas.,generate_blog_post
Generate a guide on how to sell a property that's part of a complex property chain.,generate_blog_post
Can you get me the notes from last Saturday's open house in Balham?,get_property_details
I need to see all upcoming appointments for the property with reference ABC123.,get_property_details
Is the property located on a flight path?,get_property_details
Can you confirm the number of bathrooms in the townhouse on George Street?,get_property_details
I need the business rates if the property in Birmingham is used commercially.,get_property_details
Show me retirement properties in Bournemouth.,search_properties
Was there any specific feedback on road noise from people who viewed the property?,get_property_details
Compose a piece analyzing the demand for properties with dedicated home offices.,generate_blog_post
"Write a listing for a rustic 'finca' (country estate) in Mallorca, Spain.",generate_property_description
The landlord is supplying a new washing machine; please add this to the list of included appliances.,update_listing
Generate a blog post exploring the demand for holiday lets in Cornwall and Devon.,generate_blog_post
Who are the solicitors handling the sale for the property on Elm Street?,get_property_details
Draft a post comparing the lifestyle in South London vs. North London.,generate_blog_post
Show me everything that was reduced in price last week in the whole of Kent.,search_properties
"The property falls under a conservation area, please add this detail to the listing.",update_listing
"The house on Elm Street, Manchester is now sold.",update_listing
"The key for the flat in Liverpool is now with us, so we can change viewing access to 'Key in office'.",update_listing
Can you replace the main image of the Liverpool flat with the one showing the balcony view?,update_listing
I need a description for a converted church in Norfolk with original stained-glass windows.,generate_property_description
Generate an article explaining the concept of 'rental yield' and which UK cities offer the best returns.,generate_blog_post
Generate a description for a live/work unit in Hackney Wick.,generate_property_description
Are there any homes for sale with access to a communal gym and pool in Salford?,search_properties
Create a description that focuses purely on the investment yield for a property near a major hospital.,generate_property_description
Create an article on the financial benefits of decluttering and staging your home before listing.,generate_blog_post
Make me a description for a 2-bedroom pre-war apartment on New York's Upper West Side.,generate_property_description
Generate a description for a property with a large loft space with potential for conversion.,generate_property_description
I need to see the aerial drone footage of the estate in Cheshire.,get_property_details
"Write an article explaining different mortgage types: Fixed, Tracker, and Variable.",generate_blog_post
Search for all homes listed this week in the SW19 postcode.,search_properties
Show me properties with a large conservatory in the Southampton area.,search_properties
Write a description for a house with an impressive south-facing garden in Leicester.,generate_property_description
Display the stamp duty calculation for the list price of the property on King's Road.,get_property_details
Are there any new flats on the market in the B1 postcode?,search_properties
I need a short and sweet description for an Instagram post about a charming cottage in Cornwall.,generate_property_description
I need a description for a retirement bungalow in a quiet community in Norwich.,generate_property_description
Create an article on landlord insurance: What it covers and why you need it.,generate_blog_post
Generate a luxury listing for an apartment in Manchester's Beetham Tower.,generate_property_description
I need a bungalow with at least two bedrooms in Lincoln.,search_properties
Draft a description for a home with off-street parking for multiple cars in central Cambridge.,generate_property_description
Search for apartments in buildings that are known for their architecture in Manchester.,search_properties
"Upload the video tour for the property at 99 Redcliffe Square, London.",update_listing
Tell me about the local gym and leisure facilities near the apartment in Salford.,get_property_details
"The open house for the Bristol property is now fully booked, please add a note 'Open house fully booked, reserve list only'.",update_listing
Write a comprehensive seller's checklist for completion day.,generate_blog_post
Draft a post on how to negotiate a house price after a bad survey report.,generate_blog_post
Show me the window and door specifications from the brochure.,get_property_details
Tell me the predicted rental yield for the apartment in Birmingham.,get_property_details
Create a guide to understanding your property's Energy Performance Certificate (EPC) and how to improve it.,generate_blog_post
Generate a post on the benefits of getting a 'Mortgage in Principle' before you start house hunting.,generate_blog_post
I want a property that has been featured in a design magazine.,search_properties
"Create marketing copy for a new beachfront apartment complex in Lisbon, Portugal.",generate_property_description
Does the property have a south-facing garden?,get_property_details
Write an article on the benefits of investing in HMO (House in Multiple Occupation) properties.,generate_blog_post
Show me the total number of days on market for the property in Harrogate.,get_property_details
Who from our office currently holds the keys for the flat in Richmond?,get_property_details
Add to the rental in Shoreditch: 'The property has access to a communal gym and roof terrace'.,update_listing
Write a description for a split-level maisonette in Clapham with its own private entrance.,generate_property_description
Has there been any interest from cash buyers for the property in Oxford?,get_property_details
What is the make and model of the boiler in the house in Sheffield?,get_property_details
Write a guide to buying with a partner: Joint Tenants vs. Tenants in Common.,generate_blog_post
Draft an article on the growing popularity of eco-friendly new builds among buyers.,generate_blog_post
Generate an elegant description for a duplex penthouse in Canary Wharf with 24-hour concierge.,generate_property_description
Are there any viewings scheduled for tomorrow for the property on Park Lane?,get_property_details
Draft a lifestyle guide to living in the Peak District National Park.,generate_blog_post
Are there any outstanding service charge arrears on the flat in Islington?,get_property_details
Search for penthouses in Manchester with a roof terrace.,search_properties
Find me an apartment in a building with a residents' gym in Leeds.,search_properties
Are there any planned major construction projects in the immediate area?,get_property_details
Write a blog post on how to handle tenancy disputes and evictions legally.,generate_blog_post
"The current front shot is terrible, can you replace it with the twilight photo for the listing in Chelsea?",update_listing
What was John Smith's feedback on the Birmingham property?,get_property_details
"We need to adjust the price for the house in Bath to reflect the recent survey findings; the new price is £580,000.",update_listing
Does the lease for the flat in Chelsea allow for pets?,get_property_details
I'm looking for a two-bedroom cottage in a quiet village in Suffolk.,search_properties
"Let's set up a second open house for the house in Guildford for this Sunday, same times.",update_listing
How long has the house in Wimbledon been listed?,get_property_details
Draft a post on the pros and cons of using a letting agent vs. self-managing.,generate_blog_post
Generate an article on the importance of professional property photography.,generate_blog_post
Create a blog post on how to identify up-and-coming areas for buy-to-let investment.,generate_blog_post
Show me a log of all price reductions for the property in Chester.,get_property_details
Is the property vacant or owner-occupied at present?,get_property_details
"I've just uploaded new professional photos for the Manchester penthouse, please make them live.",update_listing
Show me homes in the Cotswolds that have been on the market for more than three months.,search_properties
"Find me a modern, open-plan apartment in Canary Wharf.",search_properties
Write a post on 'Open House vs. Private Viewings: Which is Better for Your Property?',generate_blog_post
Draft an ad for a large apartment in a converted mill in Bradford's Little Germany.,generate_property_description
Generate text for a Zoopla listing: a Grade II listed weavers' cottage in Macclesfield.,generate_property_description
Generate a compelling description for a one-bedroom garden flat in Fulham.,generate_property_description
Add this sentence to the description of the Windsor property: 'The property benefits from a south-facing garden.',update_listing
List all properties within a 10-minute drive of Heathrow Airport.,search_properties
Search for properties that are being sold via shared ownership in Bristol.,search_properties
Write about the long-term property investment outlook for cities along the HS2 route.,generate_blog_post
Need ad copy for a retirement property in a managed complex in Eastbourne.,generate_property_description
List all homes for sale in the school catchment area for St. Peter's School in Exeter.,search_properties
"Change the number of bathrooms from 1 to 2 for the property on Church Road, Bristol.",update_listing
Add a note to the listing in Southampton: 'Cash buyers only'.,update_listing
Create a seller's guide to navigating a 'buyer's market' successfully.,generate_blog_post
When was the property last sold?,get_property_details
Generate a description for a waterfront villa in Cornwall with private beach access.,generate_property_description
Draft a guide for 'accidental landlords' and what they need to know.,generate_blog_post
Show me a list of all viewers who subsequently made an offer.,get_property_details
I need the EPC rating for the house we viewed in Cambridge.,get_property_details
What's available in Newcastle upon Tyne for first-time buyers?,search_properties
Pull up the contact number for the current tenant to arrange a viewing.,get_property_details
Create a guide to the best London boroughs for green spaces.,generate_blog_post
Are there any properties with a separate studio or workshop in the garden in Brighton?,search_properties
What are the materials of the kitchen countertops in the flat in Soho?,get_property_details
Write a description for a Victorian conversion flat that retains original fireplaces and cornicing.,generate_property_description
"The seller wants to be clear, add 'Sold as seen' to the property notes.",update_listing
Are there any homes with a swimming pool in Cheshire?,search_properties
I want to see new build developments in Reading.,search_properties
Search for properties that come with a tenanted contract in place in Liverpool.,search_properties
I'm interested in period terraced houses in Islington.,search_properties
Compose an article on the legal process of transferring ownership on completion day.,generate_blog_post
Is the price negotiable on the house in Canterbury?,get_property_details
Find out about the local residents' association for the estate in Dulwich.,get_property_details
Are there any apartments in Liverpool with floor-to-ceiling windows?,search_properties
"Write me a description for a student let, 4 bedrooms, fully furnished, near the University of Nottingham.",generate_property_description
Find all homes within the boundary of Dartmoor National Park.,search_properties
"Drop the price of the flat in Islington by £25,000.",update_listing
Find a flat that is on the top floor but not a penthouse in a modern block in Leeds.,search_properties
Update the viewing instructions for the property in Leeds: '24 hours notice required'.,update_listing
Search for homes within a 2-mile radius of Reading station.,search_properties
Draft a post on the home improvements with the best Return on Investment for 2025.,generate_blog_post
Create an article explaining the legal paperwork involved in selling a house in England.,generate_blog_post
"The deal on the Edinburgh apartment has collapsed, please relist it.",update_listing
Generate a post explaining Capital Gains Tax for property sellers.,generate_blog_post
What's the council tax for a single occupant at the property in York?,get_property_details
I need a pet-friendly two-bed flat with some outdoor space in Edinburgh.,search_properties
Can I see the Matterport scan for the flat in Manchester?,get_property_details
Find me a property with good natural light and high ceilings in Edinburgh's New Town.,search_properties
"The owner has just renewed the lease, please update the description to reflect '990 years remaining'.",update_listing
Write a description for a 1-bed flat that needs to sell fast. Make it sound like a bargain.,generate_property_description
Need some text for a window card. It's a 2-bed terrace in Sheffield.,generate_property_description
"I need a description for a terraced house in the popular area of Southville, Bristol.",generate_property_description
Write a description for a Grade I listed oast house for sale in Kent.,generate_property_description
Add 'Viewings to commence from the 5th of August' to the listing details for the York property.,update_listing
Please add the drone footage to the gallery for the farmhouse in Wales.,update_listing
"Delete photo number 5 for the Brighton seafront property, it's out of date.",update_listing
Tell me about the nightlife and noise levels in the area around the Shoreditch flat.,get_property_details
Search for a property with an annex or separate living space in Kent.,search_properties
"The sale on 42 Primrose Lane, Harrogate has collapsed, put it back on the market as 'Available'.",update_listing
"Could you draft a property description for a coastal home in Sydney, Australia, with ocean views?",generate_property_description
Add 'Fibre optic broadband available' to the key features of the property in Salford.,update_listing
Create the marketing text for a large industrial warehouse to let near Heathrow Airport.,generate_property_description
Describe a cottage in the Cotswolds. Emphasize 'cozy' and 'charming'.,generate_property_description
How would you describe a penthouse with a wraparound terrace in Leeds city centre?,generate_property_description
Find a three-bed semi-detached house in the suburbs of Birmingham.,search_properties
Draft a description that emphasizes the 'hidden gem' quality of a mews house in South Kensington.,generate_property_description
Find any properties listed for auction in Sheffield.,search_properties
Pull up all listings in Harrogate with original period features.,search_properties
Who is the vendor for the property with reference #GHI456?,get_property_details
Search for houses for sale on Cotham Road in Bristol.,search_properties
Is the property in an Ultra Low Emission Zone (ULEZ)?,get_property_details
"The property on Willow Lane, York is now pending completion.",update_listing
"The house in Windsor needs a price adjustment, new price is £1,200,000.",update_listing
What's on the market in Notting Hill for around £2 million?,search_properties
Find a flat with a service charge of less than £2000 per year in London Zone 3.,search_properties
Display the property's social media post and its engagement stats.,get_property_details
"The landlord of the Oxford flat will now include council tax and water for an increased rent of £1400pcm, update please.",update_listing
Show me apartments in a converted warehouse in Shoreditch.,search_properties
Find all listings in the historic town of Windsor.,search_properties
Give me a punchy opening line for a warehouse conversion listing in Shoreditch.,generate_property_description
"Need a description for a new build apartment in Salford Quays, highlighting the EWS1 certificate.",generate_property_description
I need to sell a Martello tower on the Suffolk coast. Write a suitably historic and unique description.,generate_property_description
"I've sent you the link to the drone video, please embed it on the listing for the estate in Cheshire.",update_listing
I need a property with land suitable for keeping chickens or a smallholding.,search_properties
"Describe this property for me: 2 beds, ground floor, private patio, right next to Wandsworth Common.",generate_property_description
"Write a professional description for a modern office space for lease in Spinningfields, Manchester.",generate_property_description
Play the video tour for the flat in Canary Wharf.,get_property_details
"I'm looking for something with character, maybe an old schoolhouse or chapel conversion.",search_properties
Add the new twilight photos to the listing for the house in Harrogate.,update_listing
Write a post on how to conduct a professional property inventory.,generate_blog_post
"Draft the copy for a lakeside lodge in the Lake District, emphasizing its holiday let potential.",generate_property_description
Create a guide for buyers on how to perform due diligence on a property's history and planning.,generate_blog_post
"Put the bungalow in Bournemouth back on, the buyer couldn't secure a mortgage.",update_listing
Display any known upcoming assessments or major works costs for the block in Brighton.,get_property_details
Let's write a description for a houseboat on a canal in Amsterdam.,generate_property_description
"The brochure is now ready, can you upload the PDF to the listing for the house in Harrogate?",update_listing
Change the listing for the house in Cambridge to 'Furnished'.,update_listing
"Create a description for a property with stunning, uninterrupted sea views in Devon. Make this the main focus.",generate_property_description
"Show me all homes for sale on King Street, Cambridge.",search_properties
Write a description for a semi-detached house in a Dublin suburb.,generate_property_description
Search for properties that have planning permission granted for an extension in Hertford.,search_properties
Can you reduce the price on the Newcastle apartment by 5%?,update_listing
I want to find a fixer-upper project in East London.,search_properties
"Change 45 King's Avenue, Cardiff to 'Under Offer'.",update_listing
I need the contact details for the people who viewed the Battersea flat yesterday.,get_property_details
I'm stuck. Can you write a punchy description for a student studio near a London university?,generate_property_description
Show me all homes for sale in the village of Painswick in the Cotswolds.,search_properties
I need a property with a driveway that can accommodate a caravan or motorhome.,search_properties
Generate an article explaining the difference between 'exchange' and 'completion'.,generate_blog_post
Create a description for a luxury apartment in a high-rise in Singapore.,generate_property_description
Add a block viewing event for the Clapham flat next Tuesday between 5pm and 7pm.,update_listing
